Coin,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Amount,Invested,Returned,Profit,Profit%
PHA,TREND,01:01:09 PM,01:03:09 PM,0.0499,0.0502,501.002004,25.00,25.00,-0.0021,-0.01%
POND,TREND,12:54:09 PM,01:01:09 PM,0.0025,0.0025,9920.634921,25.00,24.90,-0.0992,-0.40%
PHA,TREND,12:52:09 PM,12:54:09 PM,0.0504,0.0500,496.031746,25.00,24.84,-0.1584,-0.63%
INJ,TREND,12:31:09 PM,12:53:09 PM,5.6040,5.6700,4.461099,25.00,25.25,0.2454,0.98%
WLD,TREND,12:42:09 PM,12:53:09 PM,0.3841,0.3904,65.087217,25.00,25.38,0.3775,1.51%
PHA,TREND,12:50:09 PM,12:51:09 PM,0.0513,0.0509,487.329435,25.00,24.66,-0.3378,-1.35%
POND,TREND,12:43:09 PM,12:49:09 PM,0.0026,0.0026,9765.625000,25.00,25.30,0.2992,1.20%
PHA,TREND,12:43:09 PM,12:47:09 PM,0.0495,0.0510,505.050505,25.00,25.91,0.9137,3.65%
FET,HYPER,12:11:32 PM,12:41:09 PM,0.2472,0.2506,101.132686,25.00,25.22,0.2225,0.89%
PHA,TREND,12:34:09 PM,12:41:09 PM,0.0493,0.0501,507.099391,25.00,25.15,0.1521,0.61%
POND,TREND,12:34:09 PM,12:39:09 PM,0.0025,0.0026,10000.000000,25.00,25.50,0.5016,2.01%
NEAR,TREND,12:30:09 PM,12:37:09 PM,2.7920,2.8370,8.954155,25.00,25.38,0.3761,1.50%
IO,TREND,12:29:09 PM,12:32:09 PM,0.1779,0.1800,140.528387,25.00,25.24,0.2375,0.95%
POND,TREND,12:30:09 PM,12:32:09 PM,0.0025,0.0025,10000.000000,25.00,24.90,-0.1000,-0.40%
ROSE,HYPER,12:08:41 PM,12:30:09 PM,0.0100,0.0101,2505.010020,25.00,25.28,0.2756,1.10%
FARM,TREND,12:18:09 PM,12:27:09 PM,6.4700,6.7300,3.863988,25.00,25.93,0.9274,3.71%
GRT,TREND,12:21:09 PM,12:25:09 PM,0.0290,0.0289,862.663906,25.00,24.84,-0.1639,-0.66%
IO,TREND,12:20:09 PM,12:22:09 PM,0.1775,0.1801,140.845070,25.00,25.18,0.1831,0.73%
GRT,HYPER,12:11:31 PM,12:17:09 PM,0.0286,0.0290,874.125874,25.00,25.33,0.3322,1.33%
RENDER,HYPER,12:11:08 PM,12:17:09 PM,2.3390,2.3700,10.688328,25.00,25.29,0.2886,1.15%
HMSTR,HYPER,12:11:08 PM,12:11:31 PM,0.0002,0.0002,147666.863556,25.00,24.99,-0.0148,-0.06%
NEAR,HYPER,12:11:22 PM,12:11:28 PM,2.7340,2.7320,9.144111,25.00,24.98,-0.0183,-0.07%
LPT,HYPER,12:08:19 PM,12:11:25 PM,2.3160,2.3360,10.794473,25.00,25.22,0.2159,0.86%
WLD,HYPER,12:11:11 PM,12:11:19 PM,0.3811,0.3816,65.599580,25.00,25.03,0.0328,0.13%
ICP,HYPER,12:11:04 PM,12:11:10 PM,2.6790,2.6780,9.331840,25.00,24.99,-0.0093,-0.04%
BTC,HYPER,12:06:38 PM,12:11:07 PM,76627.0800,76657.1900,0.000326,25.00,25.01,0.0098,0.04%
IO,HYPER,12:11:01 PM,12:11:07 PM,0.1778,0.1776,140.607424,25.00,24.97,-0.0281,-0.11%
INJ,HYPER,12:10:47 PM,12:11:02 PM,5.5230,5.5340,4.526525,25.00,25.05,0.0498,0.20%
HMSTR,HYPER,12:10:46 PM,12:10:59 PM,0.0002,0.0002,147666.863556,25.00,24.99,-0.0148,-0.06%
ICP,HYPER,12:08:31 PM,12:10:44 PM,2.6740,2.6800,9.349289,25.00,25.06,0.0561,0.22%
WLD,HYPER,12:10:04 PM,12:10:44 PM,0.3790,0.3812,65.963061,25.00,25.15,0.1451,0.58%
HMSTR,HYPER,12:09:53 PM,12:10:02 PM,0.0002,0.0002,147492.625369,25.00,24.96,-0.0442,-0.18%
RENDER,HYPER,12:09:46 PM,12:09:52 PM,2.3370,2.3320,10.697475,25.00,24.95,-0.0535,-0.21%
POND,HYPER,12:09:37 PM,12:09:43 PM,0.0026,0.0026,9505.703422,25.00,24.90,-0.0951,-0.38%
FET,HYPER,12:09:28 PM,12:09:34 PM,0.2460,0.2457,101.626016,25.00,24.97,-0.0305,-0.12%
IO,HYPER,12:09:20 PM,12:09:26 PM,0.1772,0.1772,141.083521,25.00,25.00,0.0000,0.00%
HMSTR,HYPER,12:08:41 PM,12:09:19 PM,0.0002,0.0002,148104.265403,25.00,25.04,0.0444,0.18%
RLC,HYPER,12:07:34 PM,12:08:40 PM,0.4508,0.4506,55.456965,25.00,24.99,-0.0111,-0.04%
RENDER,HYPER,12:08:29 PM,12:08:35 PM,2.3390,2.3380,10.688328,25.00,24.99,-0.0107,-0.04%
WLD,HYPER,12:08:13 PM,12:08:29 PM,0.3786,0.3794,66.032752,25.00,25.05,0.0528,0.21%
FARM,HYPER,12:07:04 PM,12:08:26 PM,6.5200,6.5200,3.834356,25.00,25.00,0.0000,0.00%
DODO,HYPER,12:08:11 PM,12:08:17 PM,0.0179,0.0179,1395.089286,25.00,24.99,-0.0140,-0.06%
POND,HYPER,12:08:04 PM,12:08:10 PM,0.0026,0.0026,9469.696970,25.00,24.91,-0.0947,-0.38%
ICP,HYPER,12:07:52 PM,12:08:08 PM,2.6750,2.6730,9.345794,25.00,24.98,-0.0187,-0.07%
FET,HYPER,12:07:56 PM,12:08:02 PM,0.2461,0.2460,101.584722,25.00,24.99,-0.0102,-0.04%
IO,HYPER,12:07:43 PM,12:07:55 PM,0.1770,0.1769,141.242938,25.00,24.99,-0.0141,-0.06%
HMSTR,HYPER,12:07:44 PM,12:07:50 PM,0.0002,0.0002,148192.056906,25.00,24.96,-0.0445,-0.18%
INJ,HYPER,12:05:50 PM,12:07:43 PM,5.4950,5.4970,4.549591,25.00,25.01,0.0091,0.04%
RENDER,HYPER,12:07:35 PM,12:07:41 PM,2.3340,2.3340,10.711225,25.00,25.00,0.0000,0.00%
PHA,HYPER,12:07:28 PM,12:07:34 PM,0.0499,0.0498,501.002004,25.00,24.95,-0.0501,-0.20%
HMSTR,HYPER,12:07:26 PM,12:07:32 PM,0.0002,0.0002,148367.952522,25.00,25.00,0.0000,0.00%
RIF,HYPER,12:03:41 PM,12:07:22 PM,0.0602,0.0609,415.282392,25.00,25.29,0.2907,1.16%
IO,HYPER,12:07:05 PM,12:07:22 PM,0.1773,0.1775,141.003948,25.00,25.03,0.0282,0.11%
GRT,HYPER,12:06:55 PM,12:07:02 PM,0.0285,0.0284,877.500878,25.00,24.96,-0.0439,-0.18%
POND,HYPER,12:06:56 PM,12:07:02 PM,0.0026,0.0026,9469.696970,25.00,24.91,-0.0947,-0.38%
FET,HYPER,12:06:37 PM,12:06:53 PM,0.2455,0.2456,101.832994,25.00,25.01,0.0102,0.04%
PHA,HYPER,12:06:37 PM,12:06:52 PM,0.0499,0.0498,501.002004,25.00,24.95,-0.0501,-0.20%
GRT,HYPER,12:06:23 PM,12:06:37 PM,0.0285,0.0284,878.425861,25.00,24.99,-0.0088,-0.04%
HMSTR,HYPER,12:05:47 PM,12:06:35 PM,0.0002,0.0002,148456.057007,25.00,25.04,0.0445,0.18%
POND,HYPER,12:06:22 PM,12:06:34 PM,0.0026,0.0026,9469.696970,25.00,24.91,-0.0947,-0.38%
IO,HYPER,12:06:05 PM,12:06:22 PM,0.1768,0.1773,141.402715,25.00,25.07,0.0707,0.28%
WLD,HYPER,12:06:08 PM,12:06:19 PM,0.3759,0.3765,66.507050,25.00,25.04,0.0399,0.16%
RLC,HYPER,12:04:14 PM,12:06:07 PM,0.4508,0.4502,55.456965,25.00,24.97,-0.0333,-0.13%
