Coin,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Amount,Invested,Returned,Profit,Profit%
WLD,HYPER,11:54:49 AM,11:54:59 AM,0.3799,0.3801,65.806791,25.00,25.01,0.0132,0.05%
IO,HYPER,11:54:23 AM,11:54:58 AM,0.1730,0.1733,144.508671,25.00,25.04,0.0434,0.17%
RENDER,HYPER,11:54:46 AM,11:54:52 AM,2.3270,2.3260,10.743446,25.00,24.99,-0.0107,-0.04%
POND,HYPER,11:54:38 AM,11:54:49 AM,0.0027,0.0027,9398.496241,25.00,24.91,-0.0940,-0.38%
GRT,HYPER,11:54:26 AM,11:54:47 AM,0.0285,0.0285,877.192982,25.00,25.00,0.0000,0.00%
DODO,HYPER,11:53:44 AM,11:54:44 AM,0.0179,0.0179,1395.868230,25.00,25.00,0.0000,0.00%
HMSTR,HYPER,11:54:31 AM,11:54:38 AM,0.0002,0.0002,147058.823529,25.00,25.01,0.0147,0.06%
WLD,HYPER,11:54:31 AM,11:54:37 AM,0.3788,0.3788,65.997888,25.00,25.00,-0.0000,-0.00%
FET,HYPER,11:53:56 AM,11:54:28 AM,0.2438,0.2437,102.543068,25.00,24.99,-0.0103,-0.04%
NEAR,HYPER,11:54:20 AM,11:54:26 AM,2.7010,2.7000,9.255831,25.00,24.99,-0.0093,-0.04%
HMSTR,HYPER,11:54:08 AM,11:54:23 AM,0.0002,0.0002,146972.369195,25.00,24.97,-0.0294,-0.12%
BNB,HYPER,11:54:01 AM,11:54:22 AM,656.9000,656.8600,0.038058,25.00,25.00,-0.0015,-0.01%
WLD,HYPER,11:54:07 AM,11:54:19 AM,0.3774,0.3789,66.242713,25.00,25.10,0.0994,0.40%
POND,HYPER,11:53:56 AM,11:54:07 AM,0.0027,0.0027,9398.496241,25.00,24.91,-0.0940,-0.38%
RENDER,HYPER,11:53:25 AM,11:54:04 AM,2.3250,2.3280,10.752688,25.00,25.03,0.0323,0.13%
WLD,HYPER,11:53:47 AM,11:53:58 AM,0.3779,0.3778,66.155067,25.00,24.99,-0.0066,-0.03%
HMSTR,HYPER,11:53:44 AM,11:53:53 AM,0.0002,0.0002,146972.369195,25.00,24.99,-0.0147,-0.06%
POND,HYPER,11:53:43 AM,11:53:50 AM,0.0027,0.0027,9398.496241,25.00,24.91,-0.0940,-0.38%
PHA,HYPER,11:53:31 AM,11:53:43 AM,0.0495,0.0495,505.050505,25.00,25.00,0.0000,0.00%
FET,HYPER,11:53:34 AM,11:53:40 AM,0.2437,0.2435,102.585146,25.00,24.98,-0.0205,-0.08%
WLD,HYPER,11:53:32 AM,11:53:38 AM,0.3779,0.3777,66.155067,25.00,24.99,-0.0132,-0.05%
FET,HYPER,11:53:17 AM,11:53:28 AM,0.2436,0.2436,102.627258,25.00,25.00,0.0000,0.00%
WLD,HYPER,11:53:19 AM,11:53:26 AM,0.3774,0.3773,66.242713,25.00,24.99,-0.0066,-0.03%
